session_id,ts,role,topic,content_raw,content_std,meta_json
1756932115,1756932116.0050328,assistant,체크리스트,오늘이 몇월 며칠일까요?,오늘이 몇월 며칠일까요?,{}
1756932115,1756932128.4553118,user,체크리스트,9월 4일,표준어로 자연스럽게 바꾼 문장,{}
1756932115,1756932128.7612095,assistant,체크리스트,오늘 날씨는 어떤가요?,오늘 날씨는 어떤가요?,{}
1756932115,1756932142.360376,user,체크리스트,오늘 억수로 비가 많이 왔제,오늘 정말 비가 많이 왔습니다.,{}
1756932115,1756932142.6588166,assistant,체크리스트,지금 어디에 계신가요?,지금 어디에 계신가요?,{}
1756932115,1756932152.195615,user,체크리스트,지금 내는 대구로 내려와있제,지금 저는 대구로 내려와 있습니다.,{}
1756932115,1756932152.4537733,assistant,체크리스트,오늘로부터 7일 전은 몇월 며칠일까요?,오늘로부터 7일 전은 몇월 며칠일까요?,{}
1756932115,1756932160.491012,user,체크리스트,7월 24일,7월 24일입니다.,{}
1756932115,1756932160.8077316,assistant,체크리스트,어제 뭐하셨어요?,어제 뭐하셨어요?,{}
1756932115,1756932165.6671557,user,체크리스트,어제 경로당 가가 친구들이랑 노래 불렀데이.,어제 경로당 가서 친구들이랑 노래 불렀다.,{}
1756932115,1756932166.5017183,assistant,강변,‘강변’와 관련해서 최근에 있었던 일 하나만 이야기해 주실래요?,‘강변’와 관련해서 최근에 있었던 일 하나만 이야기해 주실래요?,{}
1756932115,1756932189.879958,user,강변,어릴 때 강변 주변에서 친구들이랑 노는걸 억수로 좋아했다 아이가,어릴 때 강변 주변에서 친구들과 노는 것을 정말 좋아했습니다.,{}
1756932115,1756932191.7075293,assistant,강변,어릴 적 추억이 떠오르셨군요. 강변에서 친구들과 어떤 놀이를 하셨는지 기억나시나요?,어릴 적 추억이 떠오르셨군요. 강변에서 친구들과 어떤 놀이를 하셨는지 기억나시나요?,{}
1756932115,1756932191.967088,assistant,강변,‘강변’을(를) 다음에 할 때 바라는 점이나 계획이 있나요?,‘강변’을(를) 다음에 할 때 바라는 점이나 계획이 있나요?,{}
1756932115,1756932220.1768417,user,강변,강변에 산책 코스 좀 많이 만들었으면 좋겠다 아이가,강변에 산책 코스를 많이 만들었으면 좋겠습니다.,{}
1756932115,1756932222.6392019,assistant,강변,사용자님께서 산책 코스를 많이 만들었으면 좋겠다고 하셨군요. 사용자님은 산책을 자주 나가시나요?,사용자님께서 산책 코스를 많이 만들었으면 좋겠다고 하셨군요. 사용자님은 산책을 자주 나가시나요?,{}
1756932115,1756932222.9676886,assistant,강변,‘강변’ 하면 떠오르는 장면이나 느낌이 있으세요?,‘강변’ 하면 떠오르는 장면이나 느낌이 있으세요?,{}
1756932115,1756932246.712171,user,강변,어릴 적에 강변에서 낚시했던 기억이 계속 난다 아이가,어릴 적에 강변에서 낚시했던 기억이 계속 납니다.,{}
